,metric,n_neighbors,mean_test_acc,mean_train_acc,std_train_acc,std_test_acc
0,manhattan,3,0.8703321115183827,0.9120626457847385,0.0009222159725454956,0.0038876564949358043
1,manhattan,5,0.8733977563034543,0.8988503832055981,0.0011250330082846858,0.002544930088480677
2,manhattan,7,0.8727535266022436,0.8911696101299567,0.000702362474177406,0.0034526714687074054
3,manhattan,9,0.8711984893924246,0.8859046984338553,0.0008388483851140856,0.0037951595155734435
4,manhattan,11,0.8695323780961903,0.8815950238809286,0.0007292079334519668,0.005232803833578705
5,minkowski,3,0.8696434521826057,0.9109407975119405,0.00131347161923608,0.0042924637820333416
6,minkowski,5,0.8727535266022436,0.8976174608463845,0.0009979683697560033,0.0033628860549001576
7,minkowski,7,0.8712207042097078,0.890042208152838,0.0015958953733139622,0.004284408428838107
8,minkowski,9,0.8705542596912139,0.8844940575363769,0.00199567401763331,0.0037808287669669266
9,minkowski,11,0.8683105631456183,0.8809341330667555,0.0019073073415632519,0.004060878321364802
10,cosine,3,0.8703543263356659,0.9123347772964567,0.0006479057240071151,0.004225139112481833
11,cosine,5,0.8725313784294123,0.8982505831389537,0.0012257718685749221,0.0028986718973465935
12,cosine,7,0.8721759413528822,0.8913028990336554,0.0012351967797946328,0.0036424172065417557
13,cosine,9,0.8697767410863045,0.8853937576363433,0.0015844515004187912,0.0028462721098384165
14,cosine,11,0.8688215039431302,0.8815394868377208,0.001521147346194363,0.003695947456285299
